"","age","female","married","employed","edu","ftotval","inctot","health"
"670",36,1,0,1,16,216095,47572,2
"671",55,0,1,0,16,115443,25362,3
"672",64,1,1,0,14,74163,7883,3
"673",62,1,0,0,12,12011,12011,3
"674",50,0,1,1,14,140736,10040,2
"675",56,1,1,1,16,290310,82310,1
"676",24,0,1,1,12,43000,23000,1
"677",52,1,1,1,12,88000,20000,2
"678",41,0,0,1,14,32000,32000,2
"679",19,0,0,0,12,111520,15500,2
"680",25,0,0,1,14,17501,0,1
"681",36,0,1,1,12,179450,165048,1
"682",44,0,1,0,8,17640,0,3
"683",51,0,1,1,14,175000,175000,2
"684",37,1,1,1,18,104098,36000,3
"685",60,1,1,0,14,65025,0,4
"686",54,1,1,0,12,38000,0,3
"687",19,0,0,0,14,0,0,2
"688",34,0,0,1,12,100010,100010,3
"689",32,1,1,1,16,400010,200005,1
"690",27,1,0,1,14,67203,26203,1
"691",47,1,1,1,16,154000,1e+05,2
"692",33,1,1,1,12,59603,19603,1
"693",48,1,0,0,16,91467,59415,3
"694",50,0,1,1,14,105178,41539,1
"695",46,0,0,1,11,36000,36000,2
"696",51,1,1,1,12,40000,40000,3
"697",21,0,0,1,12,110577,33170,3
"698",34,0,1,0,14,89500,58000,4
"699",40,1,1,0,16,130005,0,1
"700",51,0,0,0,12,174,174,1
"701",28,0,0,1,12,28012,28012,1
"702",46,1,0,1,12,12000,12000,2
"703",31,1,1,0,14,90460,0,2
"704",50,1,1,0,16,108012,0,1
"705",64,1,1,1,14,32300,25000,1
"706",34,1,1,0,14,51480,0,1
"707",52,0,1,1,14,91932,65044,3
"708",39,0,0,1,11,70000,70000,1
"709",32,1,0,1,14,0,0,3
"710",45,1,1,0,14,12065,1,3
"711",43,0,1,1,14,77060,55030,2
"712",31,1,0,0,14,7332,7332,3
"713",43,1,1,1,12,50720,31000,3
"714",49,1,1,1,14,65006,30000,2
"715",35,1,1,1,18,325048,63000,1
"716",25,1,0,0,11,53705,21696,2
"717",27,1,0,1,12,27056,7056,2
"718",45,0,1,1,12,150000,120000,1
"719",34,1,1,1,16,126504,46067,1
"720",34,0,0,1,14,113000,38000,3
"721",49,1,1,0,8,25000,0,4
"722",25,1,1,0,12,15000,0,2
"723",26,1,0,0,14,35860,35860,1
"724",38,0,1,1,12,30000,30000,2
"725",39,1,0,0,12,56018,40463,2
"726",44,0,1,0,12,11000,0,2
"727",64,0,1,1,14,34261,30000,3
"728",49,0,1,0,12,20006,1,3
"729",48,1,1,1,18,517128,500008,1
"730",59,1,1,1,16,115034,75017,2
"731",55,1,0,1,12,32975,20054,3
"732",35,0,0,1,14,35000,35000,2
"733",40,0,0,1,10,25000,25000,1
"734",37,0,1,1,8,18000,18000,3
"735",44,0,0,1,16,1605,1605,3
"736",35,0,1,1,16,78503,53503,1
"737",39,0,0,1,16,172122,42000,2
"738",61,0,1,0,16,43940,43920,3
"739",58,1,1,1,16,69944,32753,2
"740",41,0,1,1,6,37000,35000,2
"741",41,0,1,1,12,103171,62363,3
"742",50,0,1,1,12,86536,86536,3
"743",23,0,0,1,14,59116,9521,1
"744",51,1,1,1,16,345142,83379,1
"745",34,0,1,1,14,133202,98201,2
"746",22,1,0,1,14,12920,12920,1
"747",56,0,0,0,14,16800,16800,4
"748",29,1,1,1,14,30010,10000,2
"749",36,1,1,1,21,83768,70713,1
"750",21,1,0,1,12,25600,25600,1
"751",43,0,1,1,14,144673,28020,2
"752",62,0,1,1,12,108535,26011,3
"753",22,0,0,1,16,28420,28420,1
"754",56,1,1,1,18,125289,72264,2
"755",31,1,1,1,12,19100,19100,1
"756",44,1,1,1,19,55516,55500,2
"757",61,1,1,1,16,95050,50025,3
"758",27,1,0,1,16,29010,29010,1
"759",38,1,1,0,12,34060,9060,4
"760",45,0,0,0,16,2652,2652,3
"761",39,1,0,1,18,119013,119013,3
"762",32,0,1,1,12,75002,75002,3
"763",28,0,1,0,12,45000,45000,1
"764",28,0,1,1,16,100405,70400,1
"765",51,0,1,1,14,49915,39500,3
"766",22,0,0,0,16,15600,15600,1
"767",29,1,1,1,14,73039,33000,2
"768",49,1,0,1,11,6200,6200,3
"769",57,1,1,0,12,2900,2600,5
"770",23,0,1,1,14,41652,7128,1
"771",30,1,1,0,6,36000,0,1
"772",51,1,1,1,18,172050,84000,2
"773",39,0,1,1,18,1046622,1029201,2
"774",35,1,0,1,12,35000,35000,2
"775",35,1,1,1,14,90000,20000,1
"776",39,1,1,1,12,46756,13381,3
"777",62,1,1,0,9,16156,0,5
"778",27,0,0,1,18,102446,55029,1
"779",40,0,1,1,14,76000,36000,1
"780",27,0,0,1,16,28005,28005,2
"781",63,1,1,1,19,217370,96381,2
"782",56,1,1,1,12,88071,40053,1
"783",35,1,1,1,21,283300,94200,3
"784",21,0,1,1,12,26080,7000,3
"785",36,1,1,1,18,200004,120002,2
"786",47,0,1,1,12,344007,207003,1
"787",60,1,1,0,14,104551,0,4
"788",36,1,1,1,14,58990,46925,3
"789",23,1,0,1,14,184319,0,1
"790",47,0,1,1,16,98564,97048,3
"791",19,1,0,0,14,197404,31002,1
"792",46,1,0,0,11,0,0,3
"793",45,1,0,1,14,44899,35000,2
"794",45,0,1,1,16,159639,84316,3
"795",28,0,0,1,14,55029,55029,2
"796",38,1,0,1,14,30896,30896,3
"797",34,1,1,1,9,33020,13000,3
"798",46,1,1,0,12,41751,18100,3
"799",55,0,0,0,14,37200,37200,5
"800",47,0,0,1,8,30002,30002,3
"801",55,0,1,0,16,12864,12864,5
"802",63,1,1,1,12,78338,24338,4
"803",34,0,1,1,14,107000,99000,2
"804",32,0,0,1,14,72005,72005,3
"805",63,1,1,0,14,33955,17349,3
"806",58,0,1,1,12,40059,30048,1
"807",26,0,0,1,16,37000,37000,2
"808",35,1,1,1,16,96000,25500,1
"809",48,0,1,1,14,153762,80000,3
"810",27,1,1,0,14,22000,0,2
"811",30,0,0,0,18,0,0,2
"812",33,0,1,1,8,33701,13500,3
"813",35,0,1,1,8,37514,34014,3
"814",62,1,1,0,14,47065,0,2
"815",27,0,0,0,12,165002,0,3
"816",26,0,0,0,12,124169,0,4
"817",27,1,1,1,18,123353,95007,1
"818",45,1,1,0,12,30000,0,3
"819",58,1,1,1,12,118342,61571,3
"820",28,1,1,1,16,84210,50025,2
"821",55,0,1,1,18,128923,82114,1
"822",19,0,0,0,14,116844,10098,2
"823",62,1,1,1,12,58417,47017,1
"824",42,1,0,1,12,45420,41020,3
"825",56,1,1,1,18,121773,70250,3
"826",21,0,0,1,14,9162,9162,1
"827",24,1,0,0,12,2000,2000,1
"828",44,0,1,0,14,79048,18300,5
"829",51,0,0,0,12,36031,36031,3
"830",44,1,0,0,12,0,0,5
"831",23,0,0,0,12,77000,8000,2
"832",64,0,0,0,12,6800,3600,2
"833",20,1,0,1,14,21605,21605,1
"834",55,0,0,1,12,70014,70014,2
"835",33,0,0,0,14,20664,20664,2
"836",48,0,1,0,12,129425,17400,3
"837",22,0,0,0,12,28176,1500,3
"838",58,0,1,1,14,155000,55000,1
"839",23,1,0,1,14,66000,41000,1
"840",20,1,0,1,14,130920,24000,2
"841",55,0,0,1,12,28075,28075,3
"842",22,0,0,0,14,375322,20001,1
"843",38,0,1,1,16,152455,140030,2
"844",26,1,1,0,12,80000,48000,1
"845",31,0,1,1,16,109001,100001,2
"846",47,0,1,1,16,50002,15000,3
"847",26,1,1,1,14,60012,15002,2
"848",48,1,1,0,11,52700,8760,3
"849",20,1,0,1,14,42912,14900,3
"850",58,0,1,1,14,107019,55008,1
"851",44,0,1,1,21,290302,250000,3
"852",46,1,1,0,16,14788,4644,3
"853",44,1,0,0,16,50251,9000,3
"854",36,0,1,1,16,160806,105323,2
"855",36,1,1,0,12,31652,11652,3
"856",20,0,0,1,14,91900,11600,2
"857",21,0,0,1,14,24840,12420,2
"858",38,1,0,1,18,12022,12022,4
"859",52,0,1,1,12,91000,33000,3
"860",25,1,0,0,12,107134,6000,2
"861",45,0,1,1,18,85316,85316,3
"862",59,1,1,0,12,65060,30,5
"863",21,0,0,1,12,70047,20042,2
"864",19,0,0,0,14,255225,9000,1
"865",31,0,0,1,14,170031,7600,2
"866",32,1,1,1,16,110002,50001,4
"867",34,1,1,1,19,344128,344128,1
"868",24,1,0,1,12,46000,46000,1
"869",50,0,1,1,16,149257,149249,1
"870",29,0,1,1,16,65000,65000,2
"871",19,1,0,1,14,7000,7000,3
"872",36,0,1,1,16,180122,95121,2
"873",35,0,1,1,16,125175,70010,3
"874",31,0,1,1,12,72000,50000,3
"875",36,1,0,0,16,0,0,2
"876",42,1,0,1,18,97100,97100,1
"877",22,1,0,0,14,40000,0,1
"878",20,1,0,0,14,32000,32000,1
"879",25,0,0,0,6,0,0,1
"880",45,0,1,1,18,252679,252534,1
"881",45,0,1,1,21,50242,50242,2
"882",41,1,0,1,12,13710,10010,1
"883",35,0,1,1,18,60511,60511,4
"884",54,1,0,0,12,9106,9106,4
"885",22,1,0,1,14,8024,8024,1
"886",57,1,1,0,14,35000,0,3
"887",40,0,0,1,6,110000,110000,3
"888",24,0,0,1,14,6500,6500,1
"889",29,1,0,1,12,35100,35100,1
"890",50,0,1,1,16,151037,150035,2
"891",55,1,0,0,12,9120,0,5
"892",51,1,1,1,12,40000,14000,4
"893",44,0,1,1,12,51072,50036,2
"894",47,1,1,1,16,153136,48016,2
"895",45,0,1,1,14,83400,51000,3
"896",53,1,1,0,16,251854,55670,2
"897",35,0,1,1,12,75000,50000,2
"898",27,1,0,1,14,34890,34890,1
"899",39,1,0,1,12,11108,11108,3
"900",52,0,0,1,14,48029,48029,2
"901",58,1,1,1,14,77000,40000,3
"902",55,1,0,0,12,40036,0,3
"903",33,1,1,1,16,132112,60037,2
"904",55,1,0,0,14,8400,8400,2
"905",27,1,1,1,14,52951,22601,2
"906",33,1,1,0,16,100064,32,1
"907",52,1,1,1,16,177243,96103,1
"908",43,1,0,1,21,120200,120200,4
"909",32,0,0,1,14,62128,62128,2
"910",51,0,1,1,16,22219,9001,1
"911",19,1,0,1,12,111008,4000,1
"912",25,0,0,1,18,75200,75200,1
"913",28,1,1,0,14,30000,0,4
"914",23,1,0,0,10,4920,4920,3
"915",57,0,1,1,18,155000,77500,2
"916",42,1,1,1,14,136280,4265,4
"917",38,1,1,0,16,110512,30506,3
"918",30,1,1,0,14,59215,7200,2
"919",35,0,1,1,14,116002,95001,2
"920",50,1,1,1,12,101503,26503,3
"921",45,1,1,1,19,176079,61019,2
"922",53,0,1,1,21,863698,113519,3
"923",53,1,1,0,14,151524,1012,2
"924",48,1,1,0,14,148992,3985,1
"925",45,0,1,1,12,66800,35000,3
"926",60,1,0,1,6,42003,17000,4
"927",32,0,0,0,6,37600,20000,2
"928",52,0,1,1,18,142572,77503,2
"929",51,0,1,0,12,75622,4620,5
"930",42,1,1,1,14,206081,120057,4
"931",48,0,1,1,6,47001,33001,3
"932",54,1,0,0,12,10114,10114,1
"933",39,0,0,1,14,75275,75275,2
"934",24,0,0,1,16,116510,116510,2
"935",19,0,0,1,14,19000,19000,1
"936",39,0,1,1,14,121156,22000,3
"937",23,1,0,0,14,8200,8200,3
"938",56,0,1,1,16,185064,185064,1
"939",40,1,1,1,16,456500,175400,2
"940",58,1,1,1,14,79985,25010,1
"941",55,0,1,1,18,172900,162700,2
"942",57,0,0,0,12,36600,36600,5
"943",53,1,0,1,14,50150,50150,1
"944",21,0,0,1,12,157600,15000,3
"945",31,1,0,0,14,2768,2768,3
"946",53,1,1,1,12,25000,15000,4
"947",30,1,0,0,12,74518,8857,3
"948",35,0,0,1,14,41559,41559,2
"949",28,0,0,0,16,23063,0,2
"950",50,1,1,1,12,90036,50019,3
"951",64,0,1,1,11,112900,65050,3
"952",55,0,1,1,19,392680,220300,1
"953",44,1,0,0,16,12000,12000,4
"954",23,1,0,1,18,22000,22000,2
"955",30,0,1,1,14,74100,28020,1
"956",40,1,0,1,16,138725,138725,2
"957",55,0,1,1,18,140802,95001,1
"958",30,1,1,1,14,51530,23500,1
"959",64,0,0,1,18,30000,30000,2
"960",22,0,0,1,14,165000,16000,2
"961",43,1,0,1,12,67108,42001,4
"962",57,1,1,0,12,20700,8700,2
"963",42,0,1,1,12,65029,25002,3
"964",22,0,0,0,14,134003,0,1
"965",38,0,0,1,16,48600,48600,2
"966",63,0,1,0,12,50089,89,3
"967",26,0,0,1,12,34000,34000,1
"968",38,0,1,1,14,98750,49125,2
"969",35,1,0,1,16,111442,111442,2
"970",40,0,1,1,12,216956,200016,3
"971",48,1,1,1,14,136000,1e+05,3
"972",55,1,1,1,16,108860,36260,3
"973",58,1,1,1,12,126002,76001,3
"974",35,1,1,1,16,128240,55090,2
"975",56,0,1,1,12,43700,35100,4
"976",48,1,1,1,12,95000,10000,2
"977",61,1,1,0,18,441611,30006,2
"978",48,1,0,1,14,0,0,4
"979",26,0,1,1,12,49000,28000,2
"980",46,0,0,1,16,1178989,1114657,2
"981",29,0,0,1,11,23400,23400,3
"982",63,1,1,1,12,63085,26035,2
"983",57,0,0,1,14,184886,184886,1
"984",28,0,0,1,16,89000,89000,1
"985",52,1,1,1,14,94653,54595,1
"986",46,0,1,0,18,106468,100720,2
"987",44,1,0,1,14,40637,40637,2
"988",22,0,0,0,14,0,0,3
"989",31,0,1,1,12,80220,20010,1
"990",19,1,0,0,14,45381,7381,2
"991",43,1,1,1,18,215002,65000,2
"992",27,1,0,1,19,140627,140627,1
"993",27,0,0,1,14,23005,23005,3
"994",60,1,1,1,0,25600,16000,4
"995",28,0,0,1,14,45144,45144,2
"996",36,0,1,1,14,65000,65000,1
"997",40,0,1,1,16,180012,150006,2
"998",64,0,0,0,12,28238,28238,5
"999",63,1,1,1,14,21000,10000,3
"1000",22,0,0,1,12,22800,22800,2
"1001",49,1,0,1,14,36020,36020,1
"1002",35,0,0,1,19,110000,110000,3
"1003",64,1,0,1,12,36338,36338,3
"1004",50,1,1,1,18,144006,75003,2
"1005",23,0,0,1,14,40000,40000,2
"1006",53,1,1,1,16,431004,45002,2
"1007",27,0,0,1,14,45000,45000,3
"1008",53,0,1,1,18,211400,102450,2
"1009",35,0,0,0,12,12120,12120,2
"1010",40,0,1,1,16,237664,220016,1
"1011",52,1,0,1,14,86337,64737,2
"1012",42,1,1,1,12,365848,115338,2
"1013",40,1,1,1,14,77140,29640,2
"1014",41,0,1,1,16,244399,142299,2
"1015",23,1,0,1,16,98022,48008,2
"1016",60,0,1,1,14,150324,145162,1
"1017",29,1,1,1,14,69150,27000,1
"1018",39,1,1,0,8,28001,0,2
"1019",49,1,1,0,14,110000,0,2
"1020",57,0,0,1,12,60000,60000,3
"1021",33,1,1,1,14,62001,50001,2
"1022",36,1,1,1,16,68051,68051,1
"1023",39,0,1,1,11,68012,67969,1
"1024",38,0,1,1,16,95936,60468,1
"1025",27,0,0,1,16,82487,82487,3
"1026",41,0,0,1,12,64558,64558,3
"1027",47,0,0,1,16,476200,348500,2
"1028",60,1,1,1,14,64708,17708,2
"1029",19,1,0,1,14,20000,20000,1
"1030",26,0,0,1,12,33008,33008,1
"1031",50,1,1,0,16,50130,15252,2
"1032",34,1,0,1,16,28002,28002,2
"1033",34,0,1,1,14,61510,55005,1
"1034",57,0,1,1,12,136000,80000,3
"1035",21,1,0,0,14,60115,0,3
"1036",32,0,1,0,12,43000,43000,1
"1037",31,1,0,1,14,40270,40270,2
"1038",58,1,0,0,8,141762,12755,5
"1039",50,0,1,1,14,116298,95715,2
"1040",20,1,0,1,14,84902,15440,2
"1041",24,0,0,0,14,50035,0,1
"1042",59,0,1,0,16,61165,9564,4
"1043",49,1,1,0,14,110012,0,1
"1044",60,0,1,1,16,125508,84506,1
"1045",43,0,0,1,14,45001,45001,3
"1046",30,0,0,1,12,70000,70000,1
"1047",42,1,0,1,14,42000,21000,2
"1048",46,0,1,1,16,315032,90016,1
"1049",26,1,0,1,10,27000,27000,2
"1050",41,1,1,1,18,156878,68443,2
"1051",58,1,0,1,12,48001,30000,3
"1052",61,0,1,1,12,42766,12500,1
"1053",58,1,0,1,14,139081,46514,3
"1054",54,1,1,0,8,40446,2135,5
"1055",27,1,0,1,12,30000,30000,1
"1056",36,0,1,1,14,52000,24000,3
"1057",40,1,1,0,14,176016,71015,2
"1058",32,0,1,1,14,30002,30002,1
"1059",22,1,0,0,14,44538,2550,2
"1060",39,1,1,1,18,70162,20081,2
"1061",63,1,1,0,14,104118,10862,2
"1062",42,0,1,1,16,247324,225162,1
"1063",60,0,1,0,14,52525,6860,4
"1064",22,1,0,1,16,46050,46050,2
"1065",56,0,0,0,4,2160,2160,5
"1066",30,0,0,1,14,11501,11501,2
"1067",32,1,1,0,12,77904,24904,3
"1068",26,0,0,1,14,97802,60000,2
"1069",48,0,1,1,16,206081,86024,4
"1070",33,0,1,1,18,120710,70405,2
"1071",23,1,0,0,12,16582,16582,3
"1072",46,1,1,0,18,147598,18543,4
"1073",48,1,1,1,14,30260,20055,1
"1074",27,1,1,1,12,60455,16000,3
"1075",42,0,1,1,21,281147,100323,1
"1076",50,1,1,1,16,104403,40000,2
"1077",52,1,1,1,16,84000,35000,1
"1078",57,1,0,1,16,150010,63008,3
"1079",25,1,1,0,16,69210,27000,4
"1080",20,0,0,0,12,5043,5043,1
"1081",39,0,1,1,12,40000,40000,3
"1082",62,1,1,0,14,210223,131818,2
"1083",38,1,1,1,12,79000,6000,2
"1084",61,0,0,0,12,27002,27002,3
"1085",30,0,0,1,12,35000,35000,1
"1086",42,0,1,1,14,69006,53400,2
"1087",36,1,1,1,14,73024,19024,2
"1088",33,1,1,0,14,91750,0,2
"1089",20,0,0,1,12,91325,23320,1
"1090",62,0,1,0,12,65846,65846,3
"1091",34,1,0,1,14,94000,94000,2
"1092",30,1,0,0,14,108409,20000,2
"1093",47,1,1,1,14,205868,25000,3
"1094",34,1,1,1,14,120920,60460,2
"1095",29,0,1,1,19,296100,122800,1
"1096",39,1,0,1,16,36511,18000,2
"1097",58,0,1,1,16,135623,73223,2
"1098",32,1,1,1,16,150525,75020,4
"1099",30,0,1,1,16,84022,36011,3
"1100",38,0,1,1,14,80435,48370,1
"1101",49,1,0,0,12,62017,13259,4
"1102",36,1,0,1,14,86294,45288,1
"1103",19,1,0,0,14,63444,2220,1
"1104",48,0,0,1,16,88144,88144,3
"1105",39,0,1,1,14,59010,30005,1
"1106",43,0,1,1,6,44000,19000,1
"1107",38,0,1,1,14,155053,75016,2
"1108",34,1,1,1,12,83500,50500,1
"1109",21,1,1,1,9,4933,4933,2
"1110",37,1,1,0,10,21538,2388,4
"1111",31,1,0,1,14,4000,4000,2
"1112",55,1,1,1,19,75900,75300,1
"1113",35,0,1,0,12,40632,0,5
"1114",49,0,0,1,12,50000,50000,2
"1115",60,1,1,0,18,136977,18664,3
"1116",24,1,0,1,12,57800,30000,3
"1117",35,1,1,0,18,180197,8,1
"1118",52,0,0,1,14,50033,50033,1
"1119",35,1,1,0,12,0,0,1
"1120",27,0,1,1,14,105012,65012,2
"1121",40,0,0,1,12,161201,50000,1
"1122",26,0,0,1,14,70502,10500,1
"1123",60,1,0,0,11,11100,11100,4
"1124",32,1,0,1,14,20514,20514,1
"1125",54,1,1,0,12,110338,169,4
"1126",52,1,1,1,14,35000,17500,4
"1127",35,1,1,0,12,26000,0,3
"1128",46,0,0,0,10,0,0,3
"1129",29,1,1,1,16,130000,60000,1
"1130",41,0,1,0,14,35500,23300,4
"1131",31,1,0,1,14,21640,10000,3
"1132",55,1,1,0,18,53198,1,3
"1133",28,0,0,1,12,100012,100012,1
"1134",46,0,0,1,12,40000,30000,2
"1135",20,0,0,1,14,525907,36060,3
"1136",31,0,1,1,14,92010,63005,2
"1137",35,1,1,1,16,84520,36010,2
"1138",52,0,1,1,16,331960,220920,2
"1139",24,1,0,0,12,2000,2000,2
"1140",64,0,0,0,14,16800,16800,4
"1141",29,0,0,0,11,2,2,3
"1142",24,1,0,1,12,11850,11850,1
"1143",31,1,0,0,14,31488,31488,3
"1144",21,1,0,1,12,62000,20000,1
"1145",44,1,1,0,18,184137,2826,2
"1146",55,1,1,0,16,69065,463,3
"1147",48,0,0,1,14,81153,75153,3
"1148",39,1,1,1,16,58010,18005,1
"1149",20,1,0,1,14,185619,22501,1
"1150",37,1,0,0,11,17536,16494,2
"1151",43,1,0,1,14,31469,24808,2
"1152",40,0,0,1,12,73275,73275,2
"1153",25,0,0,1,12,0,0,1
"1154",48,0,1,1,16,179653,115005,3
"1155",42,1,1,1,16,138362,38964,2
"1156",19,0,0,0,12,62040,0,1
"1157",59,1,1,1,19,230127,135647,2
"1158",29,1,0,0,12,29000,23000,3
"1159",36,0,0,1,12,12000,12000,3
"1160",53,0,1,1,14,97054,71185,1
"1161",55,1,0,0,14,9557,9557,1
"1162",32,0,1,1,14,128864,66560,1
"1163",22,0,0,0,14,10000,10000,1
"1164",63,1,1,0,4,19680,12000,3
"1165",26,0,0,1,16,48709,48709,1
"1166",29,0,0,1,12,20000,20000,1
"1167",21,1,0,1,12,28000,28000,2
"1168",32,0,0,1,14,0,0,3
"1169",57,0,1,1,12,320200,230100,3
"1170",35,1,0,1,12,16640,16640,1
"1171",35,0,1,1,6,63002,24001,1
"1172",54,0,1,1,14,99956,60010,3
"1173",52,1,1,1,12,190429,70020,2
"1174",26,1,0,0,16,328,328,1
"1175",38,1,0,1,18,90063,90063,1
"1176",22,0,0,1,8,59830,4160,4
"1177",29,0,0,1,16,102458,102458,1
"1178",35,1,0,1,14,43029,43029,2
"1179",35,1,1,0,18,157000,0,1
"1180",58,1,1,1,14,87048,40000,3
"1181",26,1,0,0,14,22377,22377,1
"1182",62,1,0,1,12,26800,26800,1
"1183",27,1,1,1,14,15500,5500,1
"1184",25,1,0,1,16,45033,45033,1
"1185",35,0,1,1,14,127000,99000,1
"1186",32,1,0,1,21,74613,74613,1
"1187",59,1,1,1,18,249663,80174,3
"1188",32,1,0,0,8,550,550,2
"1189",28,0,1,1,10,49684,42900,3
"1190",27,1,0,1,12,36365,36365,1
"1191",54,0,0,0,12,1200,1200,5
"1192",50,1,1,0,18,64293,135,3
"1193",48,0,1,1,21,65001,65001,2
"1194",53,0,1,1,12,121192,45000,2
"1195",27,0,1,1,9,79400,79200,1
"1196",20,0,0,0,14,272506,12000,1
"1197",60,0,1,1,16,118702,67000,1
"1198",35,1,0,1,11,32905,25903,3
"1199",60,0,1,1,12,102030,42015,3
"1200",34,0,0,0,14,107,107,3
"1201",64,1,0,0,14,10031,10031,2
"1202",55,0,1,1,14,90000,90000,2
"1203",64,0,1,1,18,250159,120500,2
"1204",27,1,0,1,12,15000,15000,1
"1205",52,0,1,1,12,100269,87000,2
"1206",61,0,1,1,6,54242,54242,3
"1207",39,0,1,1,12,72100,43100,3
"1208",24,0,0,1,14,58000,58000,3
"1209",35,0,0,1,12,50011,50010,2
"1210",35,1,0,1,12,26600,26600,2
"1211",61,1,1,0,12,113550,25,3
"1212",46,0,1,1,18,185170,182600,2
"1213",61,1,1,0,12,74161,3139,3
"1214",25,0,0,1,12,96024,12010,3
"1215",40,0,1,1,21,142416,77388,1
"1216",61,1,1,0,12,8400,8400,3
"1217",61,1,1,1,14,29400,15000,3
"1218",50,1,1,0,12,20000,0,3
"1219",19,0,0,1,12,147478,8976,3
"1220",38,0,1,1,14,100520,98520,1
"1221",52,0,1,1,14,136073,51065,2
"1222",35,0,0,1,12,35997,35997,3
"1223",57,1,1,0,6,20144,0,3
"1224",19,1,0,1,14,130304,3000,3
"1225",31,1,1,1,12,42010,19010,4
"1226",44,1,0,1,12,41000,15000,4
"1227",44,1,0,1,14,36885,26505,4
"1228",30,0,1,1,18,106115,106100,4
"1229",24,0,1,1,12,76005,36005,2
"1230",26,1,1,1,16,117064,40629,1
"1231",30,0,1,1,14,108045,68045,2
"1232",49,1,1,1,14,133497,49368,2
"1233",49,0,1,1,14,172384,158980,2
"1234",62,0,1,0,12,155506,60480,1
"1235",23,0,0,0,12,18250,18250,2
"1236",50,1,1,1,12,87820,12000,3
"1237",37,0,1,1,14,51350,43450,1
"1238",31,1,1,1,16,91103,53000,1
"1239",37,1,1,0,0,160000,0,2
"1240",47,0,1,0,14,106359,38537,2
"1241",55,1,1,1,16,133269,110111,3
"1242",34,1,0,0,12,8820,8820,4
"1243",55,0,1,1,16,431440,298279,3
"1244",26,1,0,1,12,66338,26050,2
"1245",27,1,1,0,12,65050,0,2
"1246",23,0,0,1,16,12307,12307,1
"1247",42,1,0,0,9,30000,0,3
"1248",41,0,1,1,16,117009,105002,3
"1249",33,0,1,1,14,194400,140000,3
"1250",34,0,1,1,18,98875,50000,3
"1251",61,0,0,0,14,17588,17588,4
"1252",22,0,0,0,14,86625,2625,1
"1253",26,1,0,1,12,68000,0,3
"1254",32,1,1,1,18,75015,35010,3
"1255",31,0,0,1,16,67706,67706,1
"1256",38,1,1,0,18,63500,0,2
"1257",43,1,1,0,10,17460,5460,4
"1258",25,0,0,1,14,222651,21401,2
"1259",32,1,0,1,10,35000,35000,1
"1260",36,1,1,0,18,74266,37146,4
"1261",21,1,0,1,14,29066,29066,1
"1262",36,1,1,0,16,214548,9125,1
"1263",51,1,1,1,12,91578,43017,4
"1264",22,1,0,1,12,30000,30000,1
"1265",46,1,1,1,18,175325,65283,1
"1266",63,1,1,0,12,27827,10872,4
"1267",60,1,0,1,12,20564,20000,2
"1268",40,0,0,1,14,56938,34138,1
"1269",54,1,0,1,18,92577,92577,1
"1270",23,0,0,1,12,56766,23042,3
"1271",55,0,1,1,12,100002,70002,4
"1272",23,0,0,1,14,26000,26000,2
"1273",55,0,0,0,12,17304,0,4
"1274",40,1,1,1,18,118149,48034,2
"1275",51,1,1,0,18,216353,31345,1
"1276",39,1,0,0,16,14971,7228,1
"1277",49,0,1,1,12,224181,78711,3
"1278",23,0,0,0,14,33600,33600,2
"1279",42,1,1,0,12,30000,0,1
"1280",60,1,0,0,12,0,0,5
"1281",53,1,1,0,12,99310,253,4
"1282",22,0,0,0,14,142150,11000,2
"1283",55,0,0,1,14,152725,120000,2
"1284",39,1,1,1,18,164188,60169,1
"1285",50,0,1,1,19,236554,184297,3
"1286",57,1,1,1,12,825034,25017,1
"1287",30,1,1,1,18,98220,44020,1
"1288",41,0,1,1,16,215001,100001,3
"1289",58,1,1,0,16,283362,945,2
"1290",40,1,1,1,4,65186,30100,1
"1291",35,0,1,1,19,114570,60010,2
"1292",25,1,1,1,16,66003,24000,2
"1293",56,1,0,1,12,28000,28000,3
"1294",48,1,1,1,14,34877,4929,2
"1295",30,0,0,0,12,85294,45000,3
"1296",33,0,1,1,16,101585,56535,2
"1297",38,0,1,1,14,232301,158300,2
"1298",40,0,1,1,16,135035,135019,2
"1299",37,0,0,1,14,24000,24000,2
"1300",47,1,0,1,12,31163,31161,3
"1301",44,0,1,1,18,145040,25020,3
"1302",23,0,0,1,12,0,0,2
"1303",47,1,1,0,16,60002,0,3
"1304",36,0,1,1,12,135115,75000,2
"1305",35,1,1,1,18,106622,66008,1
"1306",31,0,1,1,16,180000,110000,2
"1307",34,0,1,1,12,56007,19001,2
"1308",46,0,1,0,14,81291,26285,3
"1309",64,0,1,1,14,118006,60003,2
"1310",40,1,0,1,12,26901,26901,1
"1311",39,1,1,1,16,105612,70006,1
"1312",24,1,1,1,12,6000,6000,1
"1313",27,0,1,1,16,64654,61504,1
"1314",52,1,1,1,18,166344,48005,2
"1315",48,0,1,1,12,94890,65465,2
"1316",34,0,1,1,14,61230,35025,1
"1317",23,1,0,1,14,204247,42606,3
"1318",62,1,0,1,12,19801,19801,3
"1319",41,0,1,1,12,77015,41002,2
"1320",46,1,1,1,18,197740,102364,2
"1321",31,0,1,1,12,52550,30275,1
"1322",48,1,1,0,12,57000,0,3
"1323",48,1,1,1,14,304284,104025,2
